budget,primary_genre,original_title,overview,production_company,release_date,revenue,runtime,tagline,title
8000000,Drama,Things to Do in Denver When You're Dead,A mafia film in Tarantino style with a star-studded cast. Jimmy The Saint gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as â€œThe Man with the Plan. ,Miramax Films,35034,529766,116,Protect. Love. Honor. Avenge.,Things to Do in Denver When You're Dead
47000000,Drama,Mary Reilly,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.",TriStar Pictures,35118,12379402,104,The untold story of Jekyll and Hyde,Mary Reilly
24000000,Drama,The Bridges of Madison County,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,Amblin Entertainment,34847,182016617,135,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...,The Bridges of Madison County
1300000,Crime,Taxi Driver,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",Columbia Pictures Corporation,27797,28262574,114,"On every street in every city, there's a nobody who dreams of being a somebody.",Taxi Driver
31000000,Comedy,The Birdcage,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancÃ©'s right-wing moralistic parents.,United Artists,35132,185260553,117,Come as you are.,The Birdcage
11000000,Action,Canadian Bacon,Canadian Bacon is the only fictitious film from Director Michael Moore. This comedy is about an American president who decides to go to war to bring the publicâ€™s opinion of him up during election time. Canadian Bacon is actor John Candyâ€™s last film.,PolyGram Filmed Entertainment,34858,178104,91,"I'll tell ya another thing, their beer sucks!",Canadian Bacon
50000000,Action,Congo,"Eight people embark on an expedition into the Congo, a mysterious expanse of unexplored Africa where human greed and the laws of nature have gone berserk. When the thrill-seekers -- some with ulterior motives -- stumble across a race of killer apes.",Paramount Pictures,34859,152022101,109,Where you are the endangered species.,Congo
53000000,Action,Crimson Tide,"On a US nuclear missile sub, a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so.",Hollywood Pictures,34831,157387195,116,Danger runs deep.,Crimson Tide
7000000,Thriller,Desperado,A gunslinger is embroiled in a war with a local drug runner.,Columbia Pictures,34936,25405445,104,"When the smoke clears, it just means he's reloading.",Desperado
90000000,Science Fiction,Judge Dredd,"In a dystopian future, Dredd, the most famous judge (a cop with instant field judiciary powers) is convicted for a crime he did not commit while his murderous counterpart escapes.",Hollywood Pictures,34880,113493481,96,"In the future, one man is the law.",Judge Dredd
500000,Drama,Living in Oblivion,Film about filmmaking. It takes place during one day on set of non-budget movie. Ultimate tribute to all independent filmmakers.,JDI productions,34719,1148752,89,Nick is about to discover the first rule of filmmaking: if at first you don't succeed... PANIC!,Living in Oblivion
6000000,Romance,Mallrats,"Both dumped by their girlfriends, two best friends seek refuge in the local mall.",Universal Pictures,34992,2122561,94,They're not there to shop. They're not there to work. They're just there.,Mallrats
15000000,Action,Mighty Morphin Power Rangers: The Movie,"Power up with six incredible teens who out-maneuver and defeat evil everywhere as the Mighty Morphin Power Ranger, But this time the Power Rangers may have met their match, when they face off with the most sinister monster the galaxy has ever seen.",Twentieth Century Fox Film Corporation,34880,66000000,92,The Power Is On!,Mighty Morphin Power Rangers: The Movie
45000000,Drama,Showgirls,A young drifter named Nomi arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become a top showgirl.,United Artists,34964,20350754,128,Beyond your wildest dreams. Beyond your wildest fantasies.,Showgirls
60000000,Action,Under Siege 2: Dark Territory,"A passenger train has been hijacked by an electronics expert and turned into an untraceable command center for a weapons satellite. He has planned to blow up Washington DC and only one man can stop him, former Navy SEAL Casey Ryback.",Regency Enterprises,34893,104324083,100,Last time he rocked the boat. This time the sky's the limit.,Under Siege 2: Dark Territory
20000000,Drama,A Walk in the Clouds,World War II vet Paul Sutton falls for a pregnant and unwed woman who persuades him -- during their first encounter -- to pose as her husband so she can face her family.,Twentieth Century Fox Film Corporation,34922,50012507,103,A man in search. A woman in need. A story of fate.,A Walk in the Clouds
2500000,Drama,Before Sunrise,"A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.",Detour Film Production,34726,5535405,105,Can the greatest romance of your life last only one night?,Before Sunrise
27000,Comedy,Clerks,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.",Miramax Films,34590,3151130,92,Just because they serve you doesn't mean they like you.,Clerks
55000000,Drama,Disclosure,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",Warner Bros.,34677,214015089,123,Sex Is Power.,Disclosure
18000000,Comedy,Ed Wood,"The mostly true story of the legendary worst director of all time, who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.",Touchstone Pictures,34604,5887457,127,"When it came to making bad movies, Ed Wood was the best.",Ed Wood
5000000,Drama,Heavenly Creatures,"Based on the true story of Juliet Hulme and Pauline Parker, two close friends who share a love of fantasy and literature, who conspire to kill Pauline's mother when she tries to end the girls' intense and obsessive relationship.",WingNut Films,34579,3049135,99,From a secret world no one could see... came a crime no one could believe.,Heavenly Creatures
60000000,Horror,Interview with the Vampire,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",Geffen Pictures,34649,223664608,123,Drink from me and live forever,Interview with the Vampire
60000000,Comedy,Junior,"As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body.",Universal Pictures,34660,37000000,109,Nothing is inconceivable,Junior
30000000,Adventure,Legends of the Fall,"An epic tale of three brothers and their father living in the remote wilderness of 1900s USA and how their lives are affected by nature, history, war, and love.",Bedford Falls Productions,34684,160638883,133,After the Fall from Innocence the Legend begins.,Legends of the Fall
31000000,Drama,Nell,"In a remote woodland cabin, a small town doctor discovers Nell - a beautiful young hermit woman with many secrets.",Twentieth Century Fox Film Corporation,34691,106683817,112,Her heart. Her soul. Her language are a mystery...A mystery called Nell,Nell
34000000,Crime,Natural Born Killers,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,Regency Enterprises,34571,50282766,119,The Media Made Them Superstars.,Natural Born Killers
50000000,Action,Outbreak,"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House.",Kopelson Entertainment,34768,189859560,127,This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen.,Outbreak
8000000,Thriller,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",Miramax Films,34587,213928762,154,Just because you are a character doesn't mean you have character.,Pulp Fiction
32000000,Action,The Quick and the Dead,"A mysterious woman comes to compete in a quick-draw elimination tournament, in a town taken over by a notorious gunman.",TriStar Pictures,34739,18552460,107,Think you are quick enough?,The Quick and the Dead
55000000,Action,Stargate,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.",Centropolis Entertainment,34634,196567262,121,It will take you a million light years from home. But will it bring you back?,Stargate
25000000,Action,Tank Girl,"Based on the British cult comic-strip, our tank-riding anti-heroine fights a mega-corporation, which controls the world's water supply.",Trilogy Entertainment Group,34789,4064495,98,"In 2033, justice rides a tank and wears lip gloss.",Tank Girl
38000000,Science Fiction,Star Trek: Generations,Captain Jean-Luc Picard and the crew of the Enterprise-D find themselves at odds with the renegade scientist Soran who is destroying entire star systems. Only one man can help Picard stop Soran's scheme...and he's been dead for seventy-eight years.,Paramount Pictures,34655,120000000,118,Boldly go.,Star Trek: Generations
6000000,Crime,Tales from the Hood,A strange funeral director tells four strange tales of horror with an African American focus to three drug dealers he traps in his place of business.,40 Acres & A Mule Filmworks,34843,12000000,98,Chill or be Chilled,Tales from the Hood
11000000,Romance,What's Eating Gilbert Grape,"Gilbert has to care for his brother Arnie and his obese mother, which gets in the way when love walks into his life.",Paramount Pictures,34320,10032765,118,A film about the love you find...In the last place you look.,What's Eating Gilbert Grape
3000000,Drama,Muriel's Wedding,"Murielâ€™s Wedding is P.J. Hoganâ€™s film debut. A humorous emancipation story of an unemployed woman who evolves from a dreamer into a self sustaining successful woman. An amusing comedy thatâ€™s funny, silly, angry and serious.",Ciby 2000,34606,15119639,106,Success is the best revenge.,Muriel's Wedding
62000000,Action,Clear and Present Danger,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,Paramount Pictures,34549,215887717,141,The war of drugs would lead him to the war of power.,Clear and Present Danger
15000000,Fantasy,The Crow,"Exactly one year after young rock guitarist Eric Draven and his fiancÃ©e are brutally killed by a ruthless gang of criminals, Draven -- watched over by a hypnotic crow -- returns from the grave to exact revenge.",Miramax Films,34465,94000000,102,Real love is forever.,The Crow
6000000,Comedy,Four Weddings and a Funeral,Four Weddings And A Funeral is a British comedy about a British Man named Charles and an American Woman named Carrie who go through numerous weddings before they determine if they are right for one another.,Channel Four Films,34402,254700832,117,Five good reasons to stay single.,Four Weddings and a Funeral
45000000,Family,The Lion King,A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.,Walt Disney Pictures,34508,788241776,89,Life's greatest adventure is finding your place in the Circle of Life.,The Lion King
35000000,Drama,Little Buddha,Little Buddha is a movie about the life of Siddhartha starring Keanu Reeves and Bridget Fonda and directed by Bernardo Bertolucci.,Miramax Films,34304,4858139,140,A magical journey to a place where the past and present meet,Little Buddha
27000000,Thriller,Timecop,"An officer for a security agency that regulates time travel, must fend for his life against a shady politician who has a tie to his past.",Universal Pictures,34592,101646581,99,They killed his wife ten years ago. There's still time to save her. Murder is forever... until now.,Timecop
115000000,Action,True Lies,"Harry Tasker is a secret agent for the United States Government. For years, he has kept his job from his wife, but is forced to reveal his identity and try to stop nuclear terrorists when he and his wife are kidnapped by them.",Twentieth Century Fox Film Corporation,34529,378882411,141,"When he said I do, he never said what he did.",True Lies
35000000,Action,Street Fighter,Col. Guile and various other martial arts heroes fight against the tyranny of Dictator M. Bison and his cohorts.,Universal Pictures,34690,99423521,102,The fight to save the world is on!,Street Fighter
34000000,Drama,The Age of Innocence,"Tale of 19th century New York high society in which a young lawyer falls in love with a woman separated from her husband, while he is engaged to the woman's cousin.",Columbia Pictures,34229,32255440,139,In a world of tradition. In an age of innocence. They dared to break the rules.,The Age of Innocence
30000000,Action,Carlito's Way,"A Puerto-Rican ex-con, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of NYC.",Universal Pictures,34283,36516012,144,He's got a good future if he can live past next week.,Carlito's Way
40000000,Drama,Color of Night,"When New York psychiatrist Bill Capa visits Los Angeles to take over his murdered colleague's therapy group, he finds himself embroiled in the thick of a mystery when he bumps into Rose and begins a torrid affair.",Hollywood Pictures,34565,19726050,121,"In the heat of desire, love can turn to deception. Nothing is what it seems when day turns into night.",Color of Night
18000000,Action,Hard Target,"When a woman's father goes missing, she enlist a local to aid in her search. The pair soon discover that her father has died at the hands of a wealthy sportsman who hunts homeless men as a form of recreation.",Universal Pictures,34201,74189677,97,Don't hunt what you can't kill.,Hard Target
9000000,Thriller,Kalifornia,"A journalist duo go on a tour of serial killer murder sites with two companions, unaware that one of them is a serial killer himself.",Propaganda Films,34213,2395231,117,Fear never travels alone.,Kalifornia
13500000,Comedy,Manhattan Murder Mystery,A middle-aged couple suspects foul play when their neighbor's wife suddenly drops dead.,TriStar Pictures,34199,11285588,104,Keaton & Allen reunited for fun flick!,Manhattan Murder Mystery
3500000,Drama,Menace II Society,"Menace II Society is a coming of age tale detailing the summer after its protagonist Caine (Tyrin Turner) graduates from high school. This is Caine's story, which details real life in today's tough inner city.",New Line Cinema,34115,27900000,97,This is the truth. This is what's real.,Menace II Society
14000000,Drama,Poetic Justice,"In this film, we see the world through the eyes of main character Justice, a young African-American poet. A mail carrier invites a few friends along for a long overnight delivery run.",Columbia Pictures,34173,27515786,109,A Street Romance.,Poetic Justice
11000000,Comedy,The Ref,"A cat burglar is forced to take a bickering, dysfunctional family hostage on Christmas Eve.",Touchstone Pictures,34402,11439193,97,They might be his hostages but what they're doing to this guy is criminal.,The Ref
11500000,Action,Romeo Is Bleeding,A corrupt cop gets in over his head when he tries to assassinate a beautiful Russian hit-woman.,Working Title Films,34225,3275585,100,The story of a cop who wanted it bad and got it worse.,Romeo Is Bleeding
22000000,Drama,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,Universal Pictures,34302,321365567,195,"Whoever saves one life, saves the world entire.",Schindler's List
40000000,Drama,Sliver,A women moves into an apartment in Manhattan and learns that the previous tenant's life ended mysteriously after the tenant fell from the balcony.,Paramount Pictures,34110,116300000,108,You like to watch... don't you?,Sliver
28000000,Science Fiction,Blade Runner,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",Shaw Brothers,30127,33139618,117,Man has made his match... now it's his problem.,Blade Runner
48000000,Adventure,Super Mario Bros.,"Mario and Luigi, plumbers from Brooklyn, find themselves in an alternate universe where evolved dinosaurs live in hi-tech squalor. They're the only hope to save our universe from invasion by the dino dictator, Koopa.",Hollywood Pictures,34117,20915465,104,This Ain't No Game.,Super Mario Bros.
50000000,Action,Terminal Velocity,A maverick skydiver and a former KGB agent team up to stop the Russian mafia from stealing gold.,Hollywood Pictures,34600,16478900,102,It's not the fall that kills you...,Terminal Velocity
12500000,Action,True Romance,"Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it.",Davis-Films,34221,12281551,120,"Stealing, Cheating, Killing. Who said romance was dead?",True Romance
22000000,Adventure,Dances with Wolves,"Wounded Civil War soldier, John Dunbar tries to commit suicide and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.",Tig Productions,33186,424208848,181,Inside everyone is a frontier waiting to be discovered.,Dances with Wolves
35000000,Fantasy,Batman,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker, who has seized control of Gotham's underworld.",PolyGram Filmed Entertainment,32682,411348924,126,Have you ever danced with the devil in the pale moonlight?,Batman
4000000,Horror,Hellraiser: Bloodline,"In the 22nd century, a scientist attempts to right the wrong his ancestor created: the puzzle box that opens the gates of Hell and unleashes Pinhead and his Cenobite legions",Miramax Films,35132,16675000,86,"This year, the past, the present and the future will all meet at the crossroads of hell.",Hellraiser: Bloodline
38000000,Adventure,James and the Giant Peach,"When the young orphan boy James spills a magic bag of crocodile tongues, he finds himself in possession of a giant peach that flies him away to strange lands.",Walt Disney Pictures,35167,28921264,79,Adventures this big don't grow on trees.,James and the Giant Peach
13000000,Comedy,Faithful,"A depressed housewife whose husband is having an affair contemplates suicide, but changes her mind when she faces death by a killer hired to do her in.",New Line Cinema,35158,9789900,91,"A comedy about a wife, her husband and his hit man.",Faithful
80000000,Animation,Space Jam,"In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.",Warner Bros. Family Entertainment,35384,250200000,88,Get ready to jam.,Space Jam
9000000,Science Fiction,Barbarella,"In the far future, a highly sexual woman is tasked with finding and stopping the evil Durand-Durand. Along the way she encounters various unusual people.",Paramount Pictures,25121,2500000,98,See Barbarella do her thing!,Barbarella
15000000,Drama,The Craft,"A Catholic school newcomer falls in with a clique of teen witches who wield their powers against all who dare to cross them -- be they teachers, rivals or meddlesome parents.",Columbia Pictures,35188,24769466,101,Welcome to the witching hour.,The Craft
45000000,Adventure,The Phantom,The 21st successor to the role of Bengalla's resident superhero must travel to New York to prevent a rich madman from obtaining three magic skulls that would give him the secret to ultimate power.,Paramount Pictures,35222,17300889,100,Slam Evil!,The Phantom
4000000,Drama,Trainspotting,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Miramax Films,35118,16491080,93,Choose life.,Trainspotting
5000000,Drama,Lone Star,"When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town.",Castle Rock Entertainment,35237,13269963,135,John Sayles invites you to return to the scene of the crime.,Lone Star
32000000,Drama,Phenomenon,"An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis.",Touchstone Pictures,35251,152036382,123,Some things in life just can't be explained.,Phenomenon
40000000,Crime,A Time to Kill,"A young lawyer defends a black man accused of murdering two men who raped his 10-year-old daughter, sparking a rebirth of the KKK.",Regency Enterprises,35270,152266007,149,Experience a time you'll never forget.,A Time to Kill
80000000,Action,Ransom,"When a rich man's son is kidnapped, he cooperates with the police at first but then tries a unique tactic against the criminals.",Touchstone Pictures,35377,309492681,117,Someone is going to pay.,Ransom
50000000,Action,Chain Reaction,Two researchers in a green alternative energy project are put on the run when they are framed for murder and treason.,Twentieth Century Fox Film Corporation,35279,60209334,107,Reaction Time 8-4-96,Chain Reaction
13000000,Action,The Crow: City of Angels,"After Ashe and his little son are murdered violently for no reason by Judah's men, he returns from the dead to take revenge. One after one, Judah's people face the power of the dark angel. The second film based on James O'Barr's cult comic.",Miramax Films,35306,17917287,84,Believe in the power of another,The Crow: City of Angels
45000000,Comedy,Tin Cup,A washed up golf pro working at a driving range tries to qualify for the US Open in order to win the heart of his succesful rival's girlfriend.,Regency Enterprises,35293,53854588,135,Golf Pro. Love Amateur.,Tin Cup
4500000,Crime,Bound,"Corky, a tough female ex con and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caeser.",Dino De Laurentiis Company,35321,7011317,108,"In their world, you can't buy freedom, but you can steal it.",Bound
40000000,Fantasy,The Island of Dr. Moreau,A shipwrecked sailor stumbles upon a mysterious island and is shocked to discover that a brilliant scientist and his lab assistant have found a way to combine human and animal DNA with horrific results.,New Line Cinema,35300,49627779,96,The gates of hell are unlocked.,The Island of Dr. Moreau
2500000,Comedy,Breakfast at Tiffany's,"Fortune hunter Holly Golightly finds herself captivated by aspiring writer Paul Varjak, who's moved into her building on a wealthy woman's dime. As romance blooms between Paul and Holly, Doc Golightly shows up on the scene, revealing Holly's past.",Paramount Pictures,22559,9500000,110,"Audrey Hepburn plays that daring, darling Holly Golightly to a new high in entertainment delight!",Breakfast at Tiffany's
2479000,Mystery,Vertigo,"A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.",Paramount Pictures,21314,28000000,128,Alfred Hitchcock engulfs you in a whirlpool of terror and tension!,Vertigo
4000000,Mystery,North by Northwest,"Advertising man Roger Thornhill is mistaken for a spy, triggering a deadly cross-country chase.",Metro-Goldwyn-Mayer (MGM),21738,13275000,136,It's a deadly game of 'tag' and Cary Grant is 'it'...,North by Northwest
878000,Drama,Casablanca,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",Warner Bros.,15671,10462500,102,They had a date with fate in Casablanca!,Casablanca
375000,Mystery,The Maltese Falcon,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.",Warner Bros.,15298,1000000,100,A story as EXPLOSIVE as his BLAZING automatics!,The Maltese Falcon
17000000,Drama,My Fair Lady,A misogynistic and snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.,Warner Bros.,23671,72070731,170,The loverliest motion picture of them all!,My Fair Lady
4000000,Drama,Gone with the Wind,An American classic in which a manipulative woman and a roguish man carry on a turbulent love affair in the American south during the Civil War and Reconstruction.,Selznick International Pictures,14594,400176459,238,The greatest romance of all time!,Gone with the Wind
1752000,Drama,Sunset Boulevard,A hack screenwriter writes a screenplay for a former silent-film star who has faded into Hollywood obscurity.,Paramount Pictures,18485,5000000,110,A Hollywood Story,Sunset Boulevard
10500000,Science Fiction,2001: A Space Odyssey,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",Stanley Kubrick Productions,24938,68700000,149,An epic drama of adventure and exploration,2001: A Space Odyssey
1288000,Drama,Rebecca,A self-conscious bride is tormented by the memory of her husband's dead first wife.,Selznick International Pictures,14713,6000000,130,The shadow of this woman darkened their love.,Rebecca
2000000,Thriller,Notorious,"Released shortly after the war, this classic Hitchcock film illustrates the battle between German Nazis and American spies in Rio de Janeiro where a German businessman keeps a wine cellar with uranium ore.",RKO Radio Pictures,17029,24464742,102,Notorious woman of affairs... Adventurous man of the world,Notorious
1365000,Comedy,Ninotchka,A stern Russian woman sent to Paris on official business finds herself attracted to a man who represents everything she is supposed to detest.,Metro-Goldwyn-Mayer (MGM),14524,2279000,110,Greta Garbo laughs!,Ninotchka
2033000,Action,The Adventures of Robin Hood,Robin Hood (Errol Flynn) fights nobly for justice against the evil Sir Guy of Gisbourne (Basil Rathbone) while striving to win the hand of the beautiful Maid Marian (Olivia de Havilland).,Warner Bros.,14013,3981000,102,Excitement...Danger...Suspense...as this classic adventure story sweeps across the screen!,The Adventures of Robin Hood
1020000,Drama,Laura,A police detective falls in love with the woman whose murder he's investigating.,Twentieth Century Fox Film Corporation,16356,2000000,88,The story of a love that became the most fearful thing that ever happened to a woman!,Laura
5400000,Action,Giant,Sprawling epic covering the life of a Texas cattle rancher and his family and associates.,Warner Bros.,20738,35000000,201,The legendary epic that's as big as Texas.,Giant
6000000,Adventure,Around the World in Eighty Days,"Based on the famous book by Jules Verne the movie follows Phileas Fogg on his journey around the world. Which has to be completed within 80 days, a very short period for those days.",Michael Todd Company,20745,42000000,167,"It's a wonderful world, if you'll only take the time to go around it!",Around the World in Eighty Days
1300000,Adventure,The African Queen,"At the start of the first World War, in the middle of Africaâ€™s nowhere, a gin soaked riverboat captain is persuaded by a strong-willed missionary to go down river and face-off a German warship.",United Artists,18965,10750000,105,The greatest adventure a man ever lived...with a woman!,The African Queen
3000000,Drama,Cat on a Hot Tin Roof,"Brick, an alcoholic ex-football player, drinks his days away and resists the affections of his wife, Maggie. His reunion with his father, Big Daddy, who is dying of cancer, jogs a host of memories and revelations for both father and son.",Avon Production,21233,17570324,108,Just one pillow on her bed ... and just one desire in her heart!,Cat on a Hot Tin Roof
28000000,Drama,Michael Collins,"Michael Collins plays a crucial role in the establishment of the Irish Free State in the 1920s, but becomes vilified by those hoping to create a completely independent Irish republic.",Geffen Pictures,35363,16900000,132,"Ireland, 1916. His Dreams Inspired Hope. His Words Ignited Passion. His Courage Forged A Nation's Destiny.",Michael Collins
5000000,Adventure,"20,000 Leagues Under the Sea","A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",Walt Disney Productions,20081,28200000,127,The mightiest motion picture of them all!,"20,000 Leagues Under the Sea"
14000000,Comedy,Cool Runnings,"When a Jamaican sprinter is disqualified from the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican Bobsled Team.",Walt Disney,34242,154864401,98,One dream. Four Jamaicans. Twenty below zero.,Cool Runnings
812000,Animation,Dumbo,Dumbo is a baby elephant born with oversized ears and a supreme lack of confidence. But thanks to his even more diminutive buddy -- Timothy the Mouse -- the pint-sized pachyderm learns to surmount all obstacles.,RKO Radio Pictures,15271,1600000,64,The One...The Only...The FABULOUS...,Dumbo
20000000,Adventure,Bedknobs and Broomsticks,Three children evacuated from London during World War II are forced to stay with an eccentric spinster (Eglantine Price). The children's initial fears disappear when they find out she is in fact a trainee witch.,Walt Disney Productions,26213,17900000,117,You'll beWITCHED! You'll beDAZZLED! You'll be swept into a world of enchantment BEYOND ANYTHING BEFORE!,Bedknobs and Broomsticks
8200000,Drama,The Sound of Music,Film adaptation of a classic Rodgers and Hammerstein musical based on a nun who becomes a governess for an Austrian family.,Twentieth Century Fox Film Corporation,23803,286214286,174,The happiest sound in all the world!,The Sound of Music
10000000,Horror,The Lawnmower Man,A simple man is turned into a genius through the application of computer science.,New Line Cinema,33668,32101000,108,God made him simple. Science made him a god.,The Lawnmower Man
16000000,Drama,Surviving Picasso,"The passionate Merchant-Ivory drama tells the story of Francoise Gilot, the only lover of Pablo Picasso who was strong enough to withstand his ferocious cruelty and move on with her life.",Merchant Ivory Productions,35312,1985001,125,Only his passion for women could rival his passion for painting.,Surviving Picasso
44000000,Crime,Sleepers,Two gangsters seek revenge on the state jail worker who during their stay at a youth prison sexually abused them. A sensational court hearing takes place to charge him for the crimes. A moving drama from director Barry Levinson.,Propaganda Films,35356,165615285,147,When friendship runs deeper than blood.,Sleepers
2000000,Comedy,Sleeper,"Miles Monroe, a clarinet-playing health food store proprietor, is revived out of cryostasis 200 years into a future world in order to help rebels fight an oppressive government regime.",Rollins-Joffe Productions,27015,18344729,89,Woody Allen takes a nostalgic look at the future.,Sleeper
7500000,Comedy,A Fish Called Wanda,"A diamond advocate is attempting to steal a collection of diamonds, yet troubles arise when he realizes that he is not the only one after the diamonds.",Metro-Goldwyn-Mayer (MGM),32339,62493712,108,"A tale of murder, lust, greed, revenge, and seafood.",A Fish Called Wanda
1400000,Crime,Dial M for Murder,"An ex-tennis pro carries out a plot to have his wife murdered after discovering she is having an affair, and assumes she will soon leave him for the other man anyway. When things go wrong, he improvises a new plan - to frame her for murder instead.",Warner Bros.,19873,3000000,104,If a woman answers...hang on for dear life!,Dial M for Murder
6000000,Drama,Dirty Dancing,"Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer and unexpectedly falling in love.",Great American Films Limited Partnership,32010,213954274,100,Have the time of your life.,Dirty Dancing
6000000,Drama,Platoon,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",Orion Pictures,31764,138530565,120,The first casualty of war is innocence.,Platoon
49000000,Thriller,Basic Instinct,"A police detective is in charge of the investigation of a brutal murder, in which a beautiful and seductive woman could be involved.",TriStar Pictures,33683,352927224,127,A brutal murder. A brilliant killer. A cop who can't resist the danger.,Basic Instinct
38000000,Drama,The Doors,"The story of the famous and influential 1960's rock band and its lead singer and composer, Jim Morrison.",Imagine Entertainment,33298,34416893,140,"The Ultimate Story of Sex, Drugs & Rock 'N' Roll",The Doors
12500000,Crime,Glengarry Glen Ross,"Glengarry Glen Ross, follows the lives of four unethical Chicago real estate agents who are prepared to go to any lengths (legal or illegal) to unload undesirable real estate on unwilling prospective buyers.",New Line Cinema,33862,10725228,100,Lie. Cheat. Steal. All in a dayâ€™s work.,Glengarry Glen Ross
1800000,Drama,A Streetcar Named Desire,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,Charles K. Feldman Group,18889,8000000,125,"...Blanche, who wanted so much to stay a lady...",A Streetcar Named Desire
12500000,Crime,The Funeral,"The story concerns the funeral of one of three brothers in a family of gangsters that lived in New York in 1930s. Details of the past of the brothers and their families are shown through a series of flashbacks, climaxing in a shocking ending.",C&P Productions,35090,1227324,99,"One family, one murder, too many lies.",The Funeral
1000000,Drama,The Howling,"After a bizarre and near fatal encounter with a serial killer, a newswoman is sent to a rehabilitation center whose inhabitants may not be what they seem.",AVCO Embassy Pictures,29679,17985893,91,Imagine your worst fear a reality,The Howling
3000000,Comedy,Strictly Ballroom,"Brave new steps put Scott's career in jeopardy. With a new partner and determination, can he still succeed?",Beyond Films,33836,33946224,94,A life lived in fear... ...is a life half lived,Strictly Ballroom
